,ISBN,good
0,9791188331796 ,83.64
1,9791196831080 ,92.11
2,9791190413152 ,90.88
3,9788901243665 ,94.92
4,9791197023095 ,99.05
5,9791190382175 ,90.14
6,9791187481720 ,83.65
7,9791165210144 ,95.6
8,9788936434267 ,95.56
9,9791164135592 ,96.97
10,9788967358020 ,91.58
11,9788934992493 ,89.42
12,9788901244600 ,94.39
13,9791190456098 ,96.04
14,9788960518025 ,88.33
15,9788932920337 ,92.4
16,9788965422785 ,97.26
17,9788997780402 ,88.62
18,9791130604626 ,97.69
19,9788950988487 ,80.15
20,9788901243658 ,95.56
21,9791165211653 ,92.11
22,9791130629636 ,97.07
23,9788954672214 ,94.41
24,9791135485121 ,94.37
25,9791196797744 ,95
26,9791130630762 ,85.45
27,9791165382674 ,98.16
28,9791197080890 ,96.23
29,9788994702346 ,95.51
30,9788950986377 ,96.15
31,9788965423348 ,92.8
32,9791190786355 ,93.33
33,9791190492973 ,85.94
34,9791159099878 ,100
35,9791190908153 ,91.3
36,9791158740757 ,81.08
37,9788998075712 ,94.55
38,9791190313131 ,93.6
39,9788947544085 ,91.3
40,9788970127248 ,91.14
41,9791130631134 ,98.77
42,9791190242271 ,93.1
43,9791196893170 ,98.33
44,9791190846011 ,93.33
45,9791159036514 ,95.8
46,9791190090018 ,95.59
47,9788934972464 ,94.23
48,9788950989064 ,95.65
49,9791130627878 ,97.4
50,9788965423355 ,94
51,9791158511821 ,90.77
52,9788965963790 ,92.61
53,9791164452941 ,100
54,9791187119845 ,98.14
55,9791190299060 ,93.1
56,9791189320690 ,88.57
57,9788932474274 ,92.03
58,9791158883591 ,94.55
59,9791130630366 ,80.95
60,9791190710053 ,97.14
61,9788925536927 ,95
62,9791165075064 ,92.52
63,9788995563502 ,86.92
64,9791158510619 ,95.99
65,9788998274931 ,91.34
66,9791187142560 ,97.44
67,9791190908160 ,94.29
68,9788983711892 ,95.22
69,9788932920405 ,87.06
70,9788947545938 ,92.5
71,9791190908177 ,100
72,9791190313186 ,95.65
73,9791164062270 ,97.27
74,9788937462672 ,93.15
75,9788957821305 ,95
76,9791136721617 ,90
77,9791197023002 ,88
78,9791157843749 ,96
79,9788972756194 ,96.49
80,9788993178692 ,93.83
81,9788968331862 ,97.3
82,9788949162041 ,99.17
83,9791190786867 ,97.78
84,9791164135738 ,91.43
85,9788934985068 ,94.42
86,9791190030632 ,93.62
87,9791188102051 ,85.71
88,9791165341909 ,96.67
89,9788957821176 ,94.9
90,9788968332647 ,97.14
91,9791189995997 ,100
92,9788998274795 ,89.48
93,9788937473098 ,93.12
94,9791196797706 ,92.82
95,9791130630557 ,100
96,9791190908184 ,95
97,9791196764616 ,94.79
98,9788932473901 ,92.84
99,9788936477196 ,93.07
100,9791188469468 ,91.76
101,9788965423379 ,97.33
102,9788950966980 ,97.66
103,9791190030519 ,91.3
104,9791197035258 ,95.1
105,9791157280292 ,98.39
106,9788933870693 ,96.32
107,9788949162058 ,98
108,9791155812846 ,94.51
109,9791189995898 ,84.44
110,9788949121925 ,100
111,9788931589849 ,90
112,9788954673105 ,92
113,9788934903338 ,80
114,9791190908740 ,95
115,9788973814725 ,96.47
116,9791158681746 ,98
117,9788965746669 ,97.94
118,9788937834790 ,94.4
119,9788950989224 ,95
120,9791157771189 ,90
121,9788936434410 ,97.79
122,9788965422006 ,94.22
123,9788925556253 ,95
124,9791196997564 ,100
125,9791164135158 ,94.78
126,9788954654753 ,98.62
127,9788998274412 ,93.08
128,9791158551957 ,87.76
129,9788949161341 ,99.62
130,9791189352301 ,96
131,9791136233325 ,92.31
132,9788965423386 ,97.37
133,9788954753890 ,93.33
134,9788963193502 ,100
135,9791195522125 ,93.12
136,9791196067694 ,89.47
137,9791196814304 ,98.95
138,9788936456894 ,96.13
139,9791196918033 ,100
140,9791160502312 ,96.67
141,9791190467667 ,90
142,9791165341756 ,90.08
143,9791157844241 ,93.51
144,9791190052337 ,81.18
145,9791155401651 ,95
146,9791165342142 ,0
147,9788925538297 ,100
148,9788954672771 ,92
149,9791197021602 ,87.95
150,9788997396658 ,99.38
151,9791130621968 ,96.04
152,9791159920257 ,94.07
153,9791197016806 ,87.83
154,9788936446819 ,97.96
155,9788936447014 ,98.36
156,9788936434243 ,93.92
157,9791136244260 ,93.92
158,9791165211387 ,0
159,9788953332966 ,98.57
160,9791189623036 ,89.09
161,9788925569130 ,88.57
162,9788996991342 ,97.48
163,9791165247560 ,96.67
164,9791164134090 ,96.68
165,9791186757628 ,80
166,9788915107908 ,90
167,9791190630344 ,90
168,9788937460449 ,93.8
169,9791190030557 ,70
170,9791189995638 ,90.32
171,9788984374096 ,94.44
172,9791190313193 ,94.12
173,9788954655972 ,93.69
174,9791165077259 ,90
175,9788933870792 ,98.28
176,9791197035234 ,96
177,9788950987749 ,98.62
178,9791189320652 ,93.33
179,9791165342098 ,80
180,9788901240879 ,90
181,9788970638331 ,96.52
182,9791190030540 ,96
183,9791196464110 ,98.18
184,9791189159665 ,82.86
185,9791196797720 ,90.91
186,9791190030472 ,95.38
187,9791161252629 ,85
188,9791130799582 ,100
189,9788983717573 ,97.96
190,9788959893546 ,91.9
191,9791162540640 ,96.9
192,9788959529568 ,91.43
193,9791162143056 ,96.08
194,9788950983109 ,100
195,9791190408080 ,96.67
196,9791165212070 ,94.29
197,9788965781769 ,97.39
198,9791134860615 ,94.29
199,9791164380381 ,100